firstName,lastName,slotName,teamName
Taysom,Hill,QB,New Orleans Saints
Jamaal,Williams,RB,New Orleans Saints
Cedrick,Wilson,WR,New Orleans Saints
Bub,Means,WR,New Orleans Saints
Spencer,Rattler,QB,New Orleans Saints
Dallin,Holker,TE,New Orleans Saints
Foster,Moreau,TE,New Orleans Saints
Equanimeous,St. Brown,WR,New Orleans Saints
Jake,Haener,QB,New Orleans Saints
Nathan,Peterman,QB,New Orleans Saints
Mason,Tipton,WR,New Orleans Saints
Tommy,Hudson,TE,New Orleans Saints
Keith,Kirkwood,WR,New Orleans Saints
Zander,Horvath,RB,New Orleans Saints
Adam,Prentice,RB,New Orleans Saints
Eno,Benjamin,RB,New Orleans Saints
Jimmy,Graham,TE,New Orleans Saints
Lynn,Bowden,WR,New Orleans Saints
James,Robinson,RB,New Orleans Saints
Jordan,Mims,RB,New Orleans Saints
Michael,Jacobson,TE,New Orleans Saints
Kellen,Mond,QB,New Orleans Saints
Malik,Nabers,WR,NY Giants
Devin,Singletary,RB,NY Giants
Tyrone,Tracy Jr.,RB,NY Giants
Wan'Dale,Robinson,WR,NY Giants
Daniel,Jones,QB,NY Giants
Jalin,Hyatt,WR,NY Giants
Darius,Slayton,WR,NY Giants
Darren,Waller,TE,NY Giants
Theo,Johnson,TE,NY Giants
Daniel,Bellinger,TE,NY Giants
Eric,Gray,RB,NY Giants
Drew,Lock,QB,NY Giants
Isaiah,Hodgins,WR,NY Giants
Isaiah,McKenzie,WR,NY Giants
Jack,Stoll,TE,NY Giants
Tommy,DeVito,QB,NY Giants
Sterling,Shepard,WR,NY Giants
Matt,Breida,RB,NY Giants
Chase,Cota,WR,NY Giants
Jashaun,Corbin,RB,NY Giants
Lawrence,Cager,TE,NY Giants
Dylan,Drummond,WR,NY Giants
Chris,Manhertz,TE,NY Giants
Jacob,Eason,QB,NY Giants
Gary,Brightwell,RB,NY Giants
Ayir,Asante,WR,NY Giants
Bryce,Ford-Wheaton,WR,NY Giants
Ryan,Jones,TE,NY Giants
Deon,Jackson,RB,NY Giants
Miles,Boykin,WR,NY Giants
Dennis,Houston,WR,NY Giants
Gunner,Olszewski,WR,NY Giants
Tyree,Jackson,TE,NY Giants
Breece,Hall,RB,NY Jets
Garrett,Wilson,WR,NY Jets
Mike,Williams,WR,NY Jets
Aaron,Rodgers,QB,NY Jets
Malachi,Corley,WR,NY Jets
Tyler,Conklin,TE,NY Jets
Braelon,Allen,RB,NY Jets
Allen,Lazard,WR,NY Jets
Jeremy,Ruckert,TE,NY Jets
Randall,Cobb,WR,NY Jets
Xavier,Gipson,WR,NY Jets
Israel,Abanikanda,RB,NY Jets
Jason,Brownlee,WR,NY Jets
Isaiah,Davis,RB,NY Jets
Tyrod,Taylor,QB,NY Jets
Jordan,Travis,QB,NY Jets
Lance,McCutcheon,WR,NY Jets
Jacques,Patrick,RB,NY Jets
Marshel,Martin IV,TE,NY Jets
Zack,Kuntz,TE,NY Jets
Xazavian,Valladay,RB,NY Jets
Trevor,Siemian,QB,NY Jets
Nick,Bawden,RB,NY Jets
Malik,Taylor,WR,NY Jets
Kenny,Yeboah,TE,NY Jets
Irvin,Charles,WR,NY Jets
A.J.,Brown,WR,Philadelphia Eagles
Saquon,Barkley,RB,Philadelphia Eagles
DeVonta,Smith,WR,Philadelphia Eagles
Jalen,Hurts,QB,Philadelphia Eagles
Dallas,Goedert,TE,Philadelphia Eagles
Will,Shipley,RB,Philadelphia Eagles
Kenneth,Gainwell,RB,Philadelphia Eagles
Ainias,Smith,WR,Philadelphia Eagles
Johnny,Wilson,WR,Philadelphia Eagles
DeVante,Parker,WR,Philadelphia Eagles
C.J.,Uzomah,TE,Philadelphia Eagles
Parris,Campbell,WR,Philadelphia Eagles
Kenny,Pickett,QB,Philadelphia Eagles
Boston,Scott,RB,Philadelphia Eagles
Tanner,McKee,QB,Philadelphia Eagles
Tyrion,Davis-Price,RB,Philadelphia Eagles
Kendall,Milton,RB,Philadelphia Eagles
Austin,Watkins,WR,Philadelphia Eagles
McCallan,Castles,TE,Philadelphia Eagles
Jacob,Harris,WR,Philadelphia Eagles
Noah,Togiai,TE,Philadelphia Eagles
Britain,Covey,WR,Philadelphia Eagles
Julio,Jones,WR,Philadelphia Eagles
Albert,Okwuegbunam,TE,Philadelphia Eagles
E.J.,Jenkins,TE,Philadelphia Eagles
Lew,Nichols,RB,Philadelphia Eagles
Devon,Allen,WR,Philadelphia Eagles
Greg,Ward,WR,Philadelphia Eagles
Will,Grier,QB,Philadelphia Eagles
Grant,Calcaterra,TE,Philadelphia Eagles
Griffin,Hebert,WR,Philadelphia Eagles
Shaquan,Davis,WR,Philadelphia Eagles
Joseph,Ngata,WR,Philadelphia Eagles
George,Pickens,WR,Pittsburgh Steelers
Najee,Harris,RB,Pittsburgh Steelers
Jaylen,Warren,RB,Pittsburgh Steelers
Pat,Freiermuth,TE,Pittsburgh Steelers
Roman,Wilson,WR,Pittsburgh Steelers
Justin,Fields,QB,Pittsburgh Steelers
Russell,Wilson,QB,Pittsburgh Steelers
Calvin,Austin III,WR,Pittsburgh Steelers
Cordarrelle,Patterson,RB,Pittsburgh Steelers
Van,Jefferson,WR,Pittsburgh Steelers
Darnell,Washington,TE,Pittsburgh Steelers
Quez,Watkins,WR,Pittsburgh Steelers
Kyle,Allen,QB,Pittsburgh Steelers
Connor,Heyward,TE,Pittsburgh Steelers
Dez,Fitzpatrick,WR,Pittsburgh Steelers
John,Rhys Plumlee,QB,Pittsburgh Steelers
MyCole,Pruitt,TE,Pittsburgh Steelers
Rodney,Williams,TE,Pittsburgh Steelers
Daijun,Edwards,RB,Pittsburgh Steelers
Denzel,Mims,WR,Pittsburgh Steelers
Marquez,Callaway,WR,Pittsburgh Steelers
Jack,Colletto,RB,Pittsburgh Steelers
Duece,Watts,WR,Pittsburgh Steelers
Aaron,Shampklin,RB,Pittsburgh Steelers
Keilahn,Harris,WR,Pittsburgh Steelers
Godwin,Igwebuike,RB,Pittsburgh Steelers
Christian,McCaffrey,RB,San Francisco 49ers
Brandon,Aiyuk,WR,San Francisco 49ers
Deebo,Samuel,WR,San Francisco 49ers
George,Kittle,TE,San Francisco 49ers
Brock,Purdy,QB,San Francisco 49ers
Ricky,Pearsall,WR,San Francisco 49ers
Elijah,Mitchell,RB,San Francisco 49ers
Isaac,Guerendo,RB,San Francisco 49ers
Jacob,Cowing,WR,San Francisco 49ers
Jauan,Jennings,WR,San Francisco 49ers
Joshua,Dobbs,QB,San Francisco 49ers
Ronnie,Bell,WR,San Francisco 49ers
Cody,Schrader,RB,San Francisco 49ers
Jordan,Mason,RB,San Francisco 49ers
Kyle,Juszczyk,RB,San Francisco 49ers
Chris,Conley,WR,San Francisco 49ers
Danny,Gray,WR,San Francisco 49ers
Patrick,Taylor,RB,San Francisco 49ers
Terique,Owens,WR,San Francisco 49ers
Brayden,Willis,TE,San Francisco 49ers
Tay,Martin,WR,San Francisco 49ers
Ross,Dwelley,TE,San Francisco 49ers
Trent,Taylor,WR,San Francisco 49ers
Brandon,Allen,QB,San Francisco 49ers
Tanner,Mordecai,QB,San Francisco 49ers
Cameron,Latu,TE,San Francisco 49ers
Jake,Tonges,TE,San Francisco 49ers
Eric,Saubert,TE,San Francisco 49ers
Willie,Snead,WR,San Francisco 49ers
DK,Metcalf,WR,Seattle Seahawks
Kenneth,Walker III,RB,Seattle Seahawks
Jaxon,Smith-Njigba,WR,Seattle Seahawks
Tyler,Lockett,WR,Seattle Seahawks
Zach,Charbonnet,RB,Seattle Seahawks
Geno,Smith,QB,Seattle Seahawks
Noah,Fant,TE,Seattle Seahawks
Sam,Howell,QB,Seattle Seahawks
A.J.,Barner,TE,Seattle Seahawks
Jake,Bobo,WR,Seattle Seahawks
Laviska,Shenault Jr.,WR,Seattle Seahawks
Kenny,McIntosh,RB,Seattle Seahawks
Pharaoh,Brown,TE,Seattle Seahawks
Dee,Eskridge,WR,Seattle Seahawks
George,Holani,RB,Seattle Seahawks
Cade,Johnson,WR,Seattle Seahawks
Brady,Russell,TE,Seattle Seahawks
Tyler,Mabry,TE,Seattle Seahawks
Dareke,Young,WR,Seattle Seahawks
Cody,Thompson,WR,Seattle Seahawks
Cody,White,WR,Seattle Seahawks
Hayden,Hatten,WR,Seattle Seahawks
Easop,Winston,WR,Seattle Seahawks
Jack,Westover,TE,Seattle Seahawks
Mike,Evans,WR,Tampa Bay Buccaneers
Rachaad,White,RB,Tampa Bay Buccaneers
Chris,Godwin,WR,Tampa Bay Buccaneers
Baker,Mayfield,QB,Tampa Bay Buccaneers
Cade,Otton,TE,Tampa Bay Buccaneers
Bucky,Irving,RB,Tampa Bay Buccaneers
Jalen,McMillan,WR,Tampa Bay Buccaneers
Trey,Palmer,WR,Tampa Bay Buccaneers
Sean,Tucker,RB,Tampa Bay Buccaneers
Chase,Edmonds,RB,Tampa Bay Buccaneers
Rakim,Jarrett,WR,Tampa Bay Buccaneers
Deven,Thompkins,WR,Tampa Bay Buccaneers
Devin,Culp,TE,Tampa Bay Buccaneers
Payne,Durham,TE,Tampa Bay Buccaneers
Kyle,Trask,QB,Tampa Bay Buccaneers
Raleigh,Webb,WR,Tampa Bay Buccaneers
John,Wolford,QB,Tampa Bay Buccaneers
Patrick,Laird,RB,Tampa Bay Buccaneers
Ryan,Miller,WR,Tampa Bay Buccaneers
Zack,Annexstad,QB,Tampa Bay Buccaneers
Ko,Kieft,TE,Tampa Bay Buccaneers
David,Wells,TE,Tampa Bay Buccaneers
Cephus,Johnson,WR,Tampa Bay Buccaneers
Tanner,Taula,TE,Tampa Bay Buccaneers
Calvin,Ridley,WR,Tennessee Titans
DeAndre,Hopkins,WR,Tennessee Titans
Tony,Pollard,RB,Tennessee Titans
Tyjae,Spears,RB,Tennessee Titans
Will,Levis,QB,Tennessee Titans
Chig,Okonkwo,TE,Tennessee Titans
Tyler,Boyd,WR,Tennessee Titans
Treylon,Burks,WR,Tennessee Titans
Mason,Rudolph,QB,Tennessee Titans
Dillon,Johnson,RB,Tennessee Titans
Josh,Whyle,TE,Tennessee Titans
Nick,Westbrook-Ikhine,WR,Tennessee Titans
Jha'Quan,Jackson,WR,Tennessee Titans
Kyle,Philips,WR,Tennessee Titans
Malik,Willis,QB,Tennessee Titans
Hassan,Haskins,RB,Tennessee Titans
Thomas,Odukoya,TE,Tennessee Titans
Jabari,Small,RB,Tennessee Titans
Ryan,Tannehill,QB,Tennessee Titans
Tre'Shaun,Harrison,WR,Tennessee Titans
Colton,Dowell,WR,Tennessee Titans
Devin,Asiasi,TE,Tennessee Titans
Kearis,Jackson,WR,Tennessee Titans
Jonathan,Ward,RB,Tennessee Titans
Kevin,Rader,TE,Tennessee Titans
Julius,Chestnut,RB,Tennessee Titans
Mason,Kinsey,WR,Tennessee Titans
Trevon,Wesco,TE,Tennessee Titans
Terry,McLaurin,WR,Washington Commanders
Jayden,Daniels,QB,Washington Commanders
Austin,Ekeler,RB,Washington Commanders
Brian,Robinson Jr.,RB,Washington Commanders
Jahan,Dotson,WR,Washington Commanders
Ben,Sinnott,TE,Washington Commanders
Luke,McCaffrey,WR,Washington Commanders
Zach,Ertz,TE,Washington Commanders
Chris,Rodriguez,RB,Washington Commanders
Dyami,Brown,WR,Washington Commanders
Cole,Turner,TE,Washington Commanders
Marcus,Mariota,QB,Washington Commanders
Marcus,Rosemy-Jacksaint,WR,Washington Commanders
Olamide,Zaccheaus,WR,Washington Commanders
John,Bates,TE,Washington Commanders
Brycen,Tremayne,WR,Washington Commanders
Derrick,Gore,RB,Washington Commanders
Jeff,Driskel,QB,Washington Commanders
Davion,Davis,WR,Washington Commanders
Sam,Hartman,QB,Washington Commanders
Armani,Rogers,TE,Washington Commanders
Jeremy,McNichols,RB,Washington Commanders
Jamison,Crowder,WR,Washington Commanders
Kazmeir,Allen,WR,Washington Commanders
Jonathan,Williams,RB,Washington Commanders
Austin,Jones,RB,Washington Commanders
Dax,Milne,WR,Washington Commanders
Alex,Armah,RB,Washington Commanders
Mitchell,Tinsley,WR,Washington Commanders
Jake,Fromm,QB,Washington Commanders
Michael,Wiley,RB,Washington Commanders
Byron,Pringle,WR,Washington Commanders
